sample #,plate,96 well,LC Data File,,,,,,
252,,D8,D8,224,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
253,,E8,E8,232,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
254,,F8,not tested,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
255,,G8,,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,H8,,,,,,,
,,A9,,,,,,,
,,B9,,,,,,,
,,C9,,,,,,,
,,D9,,,,,,,
,,E9,,,,,,,
,,F9,,,,,,,
,,G9,,,,,,,
,,H9,,,,,,,
,,A10,,,,,,,
,,B10,,,,,,,
,,C10,,,,,,,
,,D10,,,,,,,
,,E10,,,,,,,
,,F10,,,,,,,
,,G10,,,,,,,
,,H10,,,,,,,
,,A11,,,,,,,
,,B11,,,,,,,
,,C11,,,,,,,
,,D11,,,,,,,
,,E11,,,,,,,
,,F11,,,,,,,
,,G11,,,,,,,
,,H11,,,,,,,
,,A12,,,,,,,
,,B12,,,,,,,
,,C12,,,,,,,
,,D12,,,,,,,
,,E12,,,,,,,
,,F12,,,,,,,
,,G12,,,,,,,
,,H12,,,,,,,
